time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 5217, 3.331608, 0, 914, 1, 2, 3
5, 3195, 5.738654, 0, 1524, 1, 2, 3
10, 2875, 6.449043, 0, 512, 2, 3, 5
15, 4200, 4.260238, 0, 1367, 1, 2, 3
20, 5887, 2.909971, 0, 1214, 1, 1, 2
25, 6830, 2.422401, 0, 231, 1, 1, 2
30, 4945, 3.402427, 0, 398, 1, 2, 3
35, 3373, 5.679810, 0, 1801, 1, 2, 3
40, 4414, 3.261441, 0, 388, 1, 2, 3
45, 4836, 4.325889, 0, 1037, 1, 2, 3
50, 2423, 7.498556, 1, 2176, 2, 3, 4
55, 5544, 3.215007, 0, 387, 1, 2, 3
60, 20, 2.450000, 1, 4, 2, 2, 3
