time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2956, 6.256766, 1, 999, 2, 4, 8
5, 3186, 5.753296, 1, 1007, 2, 4, 8
10, 2828, 6.542786, 1, 1008, 2, 3, 7
15, 2850, 6.496842, 1, 1000, 2, 4, 8
20, 3183, 5.693685, 1, 1001, 2, 4, 8
25, 2567, 7.220491, 1, 1004, 2, 4, 8
30, 1954, 9.865916, 1, 962, 3, 6, 13
35, 2136, 8.851592, 1, 116, 3, 6, 12
40, 2233, 8.438871, 1, 244, 2, 5, 11
45, 2206, 8.553037, 1, 991, 2, 5, 11
50, 2560, 7.281250, 1, 302, 2, 4, 9
55, 1961, 9.692504, 1, 1002, 3, 6, 13
60, 2, 10.000000, 8, 12, 8, 10, 12
