time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2135, 8.841218, 1, 1007, 3, 6, 12
5, 2531, 7.386013, 1, 100, 2, 5, 10
10, 2684, 6.941505, 1, 991, 2, 5, 9
15, 2970, 6.211448, 1, 1002, 2, 4, 8
20, 2950, 6.103051, 1, 1004, 2, 4, 8
25, 2892, 6.557746, 1, 1001, 2, 4, 8
30, 2798, 6.279128, 1, 1010, 2, 4, 7
35, 3120, 6.198397, 1, 1010, 2, 4, 8
40, 3200, 5.734375, 1, 1003, 1, 3, 7
45, 3344, 5.451854, 1, 1002, 2, 3, 8
50, 3105, 5.871820, 1, 1007, 2, 3, 7
55, 3031, 6.135929, 1, 1011, 1, 3, 7
60, 6, 5.000000, 1, 16, 1, 2, 8
