time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2014, 9.558590, 1, 989, 3, 6, 12
5, 2101, 8.976678, 1, 1012, 3, 6, 11
10, 1337, 14.225131, 1, 119, 4, 10, 20
15, 1323, 14.757370, 1, 972, 4, 9, 18
20, 1846, 10.346154, 1, 978, 3, 6, 13
25, 1636, 11.732274, 1, 312, 3, 7, 15
30, 1331, 13.885049, 1, 1002, 4, 9, 18
35, 1638, 12.166056, 1, 1018, 3, 7, 16
40, 1275, 15.183529, 1, 170, 5, 11, 21
45, 1199, 16.113428, 2, 1005, 5, 11, 21
50, 1053, 17.519468, 2, 907, 5, 12, 24
55, 1359, 14.779249, 1, 995, 4, 10, 20
60, 1, 46.000000, 46, 46, 46, 46, 46
