time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 1265, 15.286166, 2, 1013, 4, 10, 20
5, 1437, 13.211552, 2, 302, 4, 9, 18
10, 1493, 12.931011, 2, 107, 4, 10, 19
15, 1250, 15.575200, 2, 146, 5, 12, 22
20, 1375, 13.971636, 2, 107, 4, 11, 20
25, 1414, 13.613861, 2, 134, 4, 10, 19
30, 1406, 13.653627, 2, 992, 4, 9, 18
35, 1371, 14.120350, 2, 1018, 4, 10, 19
40, 1289, 14.969744, 2, 1015, 4, 10, 20
45, 1378, 13.989115, 1, 148, 4, 9, 19
50, 1422, 13.547820, 2, 126, 4, 10, 19
55, 1395, 13.778495, 2, 141, 4, 10, 20
60, 1, 45.000000, 45, 45, 45, 45, 45
