time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2004, 9.463573, 1, 342, 3, 7, 13
5, 1860, 10.227419, 1, 185, 3, 7, 14
10, 1430, 13.276224, 1, 136, 4, 10, 19
15, 1175, 16.573617, 1, 1049, 4, 12, 22
20, 1348, 14.387240, 1, 102, 4, 11, 21
25, 1329, 14.528217, 1, 134, 4, 11, 21
30, 1182, 16.347716, 1, 860, 4, 11, 22
35, 2203, 8.596005, 1, 1109, 2, 4, 9
40, 2169, 8.621485, 1, 411, 2, 5, 10
45, 1272, 15.173742, 1, 660, 4, 10, 21
50, 1172, 16.597270, 1, 543, 4, 12, 22
55, 1093, 17.736505, 1, 1013, 4, 12, 24
60, 2, 6.000000, 3, 9, 3, 6, 9
