time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 1818, 10.491199, 1, 101, 3, 7, 14
5, 2802, 6.629550, 1, 93, 2, 4, 9
10, 3048, 6.036745, 1, 72, 2, 4, 9
15, 3314, 5.497888, 1, 54, 2, 4, 8
20, 3040, 6.058224, 1, 53, 2, 4, 9
25, 3061, 6.000980, 1, 83, 2, 4, 9
30, 3246, 5.650339, 1, 57, 2, 4, 8
35, 3346, 5.463539, 1, 54, 2, 3, 8
40, 3204, 5.719413, 1, 58, 2, 4, 8
45, 3591, 5.048733, 1, 131, 2, 3, 8
50, 3033, 6.071546, 1, 109, 2, 4, 9
55, 2572, 7.255832, 1, 73, 2, 5, 10
60, 4, 16.000000, 5, 22, 11, 18, 20
