time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 1841, 10.301467, 1, 1001, 3, 6, 13
5, 2263, 8.347327, 1, 706, 3, 5, 11
10, 1033, 18.735721, 1, 770, 6, 12, 24
15, 1457, 13.190803, 1, 123, 4, 8, 19
20, 1436, 13.388579, 1, 1001, 4, 8, 18
25, 2294, 8.151264, 1, 113, 3, 5, 11
30, 2663, 7.048066, 1, 948, 2, 4, 8
35, 3210, 5.715576, 1, 973, 2, 3, 7
40, 3320, 5.511446, 1, 955, 2, 3, 7
45, 3459, 5.241110, 1, 1002, 2, 3, 7
50, 2381, 7.608568, 1, 1000, 2, 4, 9
55, 1262, 15.847068, 1, 1012, 4, 8, 17
60, 1, 21.000000, 21, 21, 21, 21, 21
