time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 1772, 11.082957, 1, 1007, 2, 5, 9
5, 2082, 9.059558, 1, 1022, 2, 5, 9
10, 2416, 7.483030, 1, 1002, 2, 4, 8
15, 2088, 8.950670, 1, 998, 2, 5, 9
20, 2566, 7.645752, 1, 1005, 2, 4, 8
25, 2555, 7.032094, 1, 1068, 2, 5, 9
30, 1921, 9.828735, 1, 995, 2, 4, 8
35, 2591, 7.512157, 1, 1006, 2, 4, 7
40, 2233, 8.017017, 1, 1004, 2, 4, 8
45, 2499, 7.649860, 1, 1018, 2, 5, 8
50, 2927, 6.474206, 1, 1006, 2, 4, 8
55, 2643, 6.972002, 1, 1005, 2, 4, 8
60, 4, 2.250000, 1, 4, 1, 2, 3
