time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4753, 3.647381, 1, 997, 1, 2, 4
5, 4023, 4.579418, 1, 995, 1, 2, 3
10, 4572, 4.022310, 1, 996, 1, 2, 3
15, 5565, 2.997664, 1, 784, 1, 2, 3
20, 3975, 4.635723, 0, 1083, 1, 2, 3
25, 4143, 4.352643, 1, 1016, 1, 2, 3
30, 4962, 3.523781, 0, 1003, 1, 2, 3
35, 4839, 3.584418, 1, 120, 1, 2, 4
40, 2341, 7.974797, 1, 1160, 2, 3, 6
45, 1697, 10.309959, 1, 1001, 2, 5, 9
50, 1764, 10.928005, 0, 2676, 2, 3, 6
55, 2825, 7.089912, 1, 1712, 2, 3, 5
60, 9, 3.333333, 1, 5, 2, 4, 4
