time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3698, 5.214981, 1, 1021, 1, 2, 4
5, 4631, 3.929821, 0, 993, 1, 2, 3
10, 4153, 4.331086, 0, 1001, 1, 2, 3
15, 2347, 7.623775, 1, 1002, 2, 3, 6
20, 3394, 5.336476, 1, 894, 2, 3, 5
25, 2710, 7.157565, 1, 999, 2, 3, 6
30, 2936, 5.860695, 1, 999, 2, 3, 5
35, 3851, 5.011945, 1, 1217, 1, 2, 4
40, 2712, 6.849189, 1, 1815, 1, 2, 4
45, 2617, 7.191441, 1, 1004, 2, 4, 6
50, 2795, 6.642218, 1, 999, 2, 3, 5
55, 2685, 5.001117, 1, 343, 1, 3, 5
