time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3360, 5.438690, 1, 53, 2, 4, 8
5, 3118, 5.894163, 1, 49, 2, 4, 9
10, 3051, 6.028187, 1, 997, 2, 4, 8
15, 2746, 6.775310, 1, 298, 2, 5, 9
20, 2399, 7.823677, 1, 1003, 2, 5, 10
25, 2674, 6.964473, 1, 85, 2, 5, 10
30, 2955, 6.254822, 1, 980, 2, 4, 8
35, 2688, 6.930060, 1, 1012, 2, 4, 9
40, 2707, 6.879941, 1, 70, 2, 5, 10
45, 2946, 6.261371, 1, 83, 2, 4, 9
50, 2980, 6.174161, 1, 1003, 2, 4, 8
55, 1904, 9.996324, 1, 396, 3, 6, 13
60, 4, 4.750000, 2, 9, 2, 4, 7
