time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4013, 4.464989, 0, 53, 1, 2, 6
5, 3318, 5.510549, 0, 634, 1, 3, 6
10, 4648, 3.799269, 0, 46, 1, 2, 5
15, 4528, 3.920053, 0, 42, 1, 2, 5
20, 4315, 4.129780, 0, 71, 1, 2, 6
25, 4169, 4.295035, 0, 276, 1, 2, 6
30, 4424, 4.008363, 0, 49, 1, 2, 6
35, 4543, 3.898085, 0, 54, 1, 2, 5
40, 3556, 5.111080, 0, 165, 1, 2, 6
45, 3687, 4.914565, 0, 127, 1, 3, 6
50, 4017, 4.463530, 0, 60, 1, 2, 6
55, 3297, 5.568396, 0, 648, 1, 2, 6
60, 16, 2.437500, 1, 7, 1, 2, 3
