time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3257, 5.617746, 1, 55, 2, 3, 8
5, 3545, 5.136248, 1, 41, 2, 3, 7
10, 3551, 5.117713, 1, 54, 2, 3, 7
15, 3594, 5.034780, 1, 55, 2, 3, 7
20, 3545, 5.132581, 1, 62, 2, 3, 7
25, 3395, 5.367599, 1, 50, 2, 3, 7
30, 3552, 5.117962, 1, 37, 2, 3, 7
35, 3838, 4.684211, 1, 32, 2, 3, 7
40, 3299, 5.538951, 1, 113, 2, 3, 8
45, 3716, 4.869483, 1, 59, 2, 3, 7
50, 3933, 4.558352, 1, 31, 2, 3, 7
55, 3798, 4.751975, 1, 59, 2, 3, 7
60, 6, 2.333333, 1, 4, 2, 2, 3
