time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3157, 5.859043, 0, 1160, 1, 2, 3
5, 4507, 3.777679, 0, 1252, 1, 2, 2
10, 6314, 2.809313, 0, 1301, 1, 1, 2
15, 4968, 3.526973, 0, 1425, 1, 2, 2
20, 6505, 2.588778, 0, 1466, 1, 1, 2
25, 7432, 2.202234, 0, 181, 1, 1, 2
30, 4674, 3.775995, 0, 928, 1, 2, 3
35, 5046, 3.468292, 0, 422, 1, 2, 3
40, 3693, 4.885459, 0, 493, 2, 3, 4
45, 3976, 4.164990, 0, 563, 1, 2, 3
50, 3813, 5.110412, 0, 654, 1, 2, 3
55, 4851, 3.620491, 0, 405, 1, 2, 3
60, 16, 2.312500, 1, 4, 2, 2, 3
