time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4080, 4.384314, 0, 62, 2, 2, 6
5, 3292, 5.564702, 0, 637, 1, 2, 5
10, 3539, 5.131958, 0, 429, 1, 2, 6
15, 4155, 4.299880, 0, 55, 1, 2, 6
20, 4153, 4.311341, 0, 87, 1, 2, 5
25, 4258, 4.178957, 0, 83, 1, 2, 5
30, 4167, 4.284617, 0, 70, 1, 2, 6
35, 4421, 4.001357, 1, 51, 1, 2, 5
40, 4500, 3.936000, 0, 63, 1, 2, 5
45, 4681, 3.760521, 0, 52, 1, 2, 5
50, 4710, 3.727813, 0, 58, 1, 2, 5
55, 3702, 4.900864, 0, 600, 1, 2, 5
60, 7, 3.000000, 1, 6, 1, 3, 5
