time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2688, 6.916667, 1, 490, 2, 4, 7
5, 2750, 6.763636, 1, 401, 2, 4, 7
10, 2953, 4.423298, 1, 495, 1, 2, 4
15, 3441, 6.682360, 0, 1570, 1, 2, 3
20, 2896, 6.626381, 0, 1202, 1, 2, 3
25, 4724, 3.719306, 0, 252, 1, 2, 4
30, 4621, 3.813677, 0, 368, 1, 2, 3
35, 5641, 3.046091, 0, 250, 1, 2, 3
40, 2690, 6.153160, 0, 677, 2, 2, 5
45, 2441, 8.487915, 1, 619, 2, 4, 7
50, 2274, 8.217678, 1, 729, 2, 4, 7
55, 2201, 6.358019, 1, 601, 2, 4, 6
