time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 10423, 1.394896, 0, 9, 1, 1, 2
5, 10864, 1.313420, 0, 12, 1, 1, 2
10, 10457, 1.387109, 0, 16, 1, 1, 2
15, 10542, 1.369000, 0, 14, 1, 1, 2
20, 10404, 1.398597, 0, 10, 1, 1, 2
25, 10221, 1.438313, 0, 9, 1, 1, 2
30, 9663, 1.540619, 0, 87, 1, 1, 2
35, 10272, 1.415985, 0, 8, 1, 1, 2
40, 10225, 1.427677, 0, 19, 1, 1, 2
45, 10129, 1.444664, 0, 46, 1, 1, 2
50, 10187, 1.437813, 0, 12, 1, 1, 2
55, 10189, 1.440868, 0, 9, 1, 1, 2
60, 1, 2.000000, 2, 2, 2, 2, 2
