time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 10729, 1.342157, 0, 7, 1, 1, 2
5, 10693, 1.343402, 0, 12, 1, 1, 2
10, 10523, 1.374418, 0, 8, 1, 1, 2
15, 10503, 1.381224, 0, 12, 1, 1, 2
20, 10404, 1.398501, 0, 7, 1, 1, 2
25, 9107, 1.672340, 0, 41, 1, 1, 2
30, 9375, 1.607893, 0, 190, 1, 1, 2
35, 9115, 1.672847, 0, 26, 1, 1, 2
40, 10546, 1.367912, 0, 7, 1, 1, 2
45, 10157, 1.445112, 0, 46, 1, 1, 2
50, 10384, 1.401483, 0, 8, 1, 1, 2
55, 10040, 1.461554, 0, 26, 1, 1, 2
60, 4, 1.250000, 1, 2, 1, 1, 1
