time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 10654, 1.348883, 0, 9, 1, 1, 2
5, 10336, 1.410507, 0, 70, 1, 1, 2
10, 10557, 1.370181, 0, 7, 1, 1, 2
15, 9080, 1.683811, 0, 85, 1, 1, 2
20, 10281, 1.416983, 0, 67, 1, 1, 2
25, 10257, 1.423906, 0, 8, 1, 1, 2
30, 10000, 1.456400, 0, 136, 1, 1, 2
35, 10202, 1.430112, 0, 13, 1, 1, 2
40, 10136, 1.449092, 0, 75, 1, 1, 2
45, 10495, 1.382563, 0, 43, 1, 1, 2
50, 10405, 1.389909, 0, 10, 1, 1, 2
55, 10196, 1.434974, 0, 73, 1, 1, 2
