time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 9717, 1.538747, 0, 143, 1, 1, 2
5, 10352, 1.412964, 0, 7, 1, 1, 2
10, 10191, 1.441860, 0, 15, 1, 1, 2
15, 9158, 1.665538, 0, 124, 1, 1, 2
20, 9442, 1.599767, 0, 9, 1, 1, 2
25, 9988, 1.478775, 0, 11, 1, 1, 2
30, 9706, 1.542242, 0, 85, 1, 1, 2
35, 9778, 1.520045, 0, 60, 1, 1, 2
40, 9844, 1.502641, 0, 16, 1, 1, 2
45, 9822, 1.510283, 0, 85, 1, 1, 2
50, 9984, 1.468450, 0, 43, 1, 1, 2
55, 9936, 1.488325, 0, 8, 1, 1, 2
60, 2, 1.000000, 1, 1, 1, 1, 1
