time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 10657, 1.351975, 0, 8, 1, 1, 2
5, 10623, 1.356396, 0, 16, 1, 1, 2
10, 10582, 1.361274, 0, 6, 1, 1, 2
15, 10418, 1.390862, 0, 7, 1, 1, 2
20, 10252, 1.425185, 0, 12, 1, 1, 2
25, 10096, 1.458796, 0, 10, 1, 1, 2
30, 10000, 1.475300, 0, 55, 1, 1, 2
35, 10240, 1.425098, 0, 14, 1, 1, 2
40, 9901, 1.492476, 0, 25, 1, 1, 2
45, 9388, 1.617490, 0, 46, 1, 1, 2
50, 10316, 1.410333, 0, 8, 1, 1, 2
55, 10262, 1.425745, 0, 13, 1, 1, 2
60, 1, 2.000000, 2, 2, 2, 2, 2
