time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 7536, 2.135085, 0, 165, 2, 2, 2
5, 7712, 2.071447, 0, 13, 2, 2, 2
10, 7753, 2.063717, 0, 15, 2, 2, 2
15, 7636, 2.101231, 0, 13, 2, 2, 2
20, 7741, 2.063816, 0, 15, 2, 2, 2
25, 7677, 2.092614, 0, 17, 2, 2, 2
30, 7688, 2.084807, 0, 16, 2, 2, 2
35, 7713, 2.081940, 0, 19, 2, 2, 2
40, 7620, 2.112992, 0, 25, 2, 2, 2
45, 7392, 2.188312, 0, 162, 2, 2, 2
50, 7665, 2.089889, 0, 14, 2, 2, 2
55, 7507, 2.142667, 0, 53, 2, 2, 2
60, 4, 2.250000, 2, 3, 2, 2, 2
