time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 10746, 1.336683, 0, 7, 1, 1, 2
5, 10742, 1.336250, 0, 12, 1, 1, 2
10, 10642, 1.351438, 0, 13, 1, 1, 2
15, 10605, 1.361056, 0, 25, 1, 1, 2
20, 10482, 1.380271, 0, 10, 1, 1, 2
25, 10135, 1.448051, 0, 13, 1, 1, 2
30, 10048, 1.462580, 0, 72, 1, 1, 2
35, 10089, 1.456933, 0, 8, 1, 1, 2
40, 10169, 1.438981, 0, 21, 1, 1, 2
45, 10362, 1.401274, 0, 45, 1, 1, 2
50, 10144, 1.446767, 0, 8, 1, 1, 2
55, 9561, 1.561134, 0, 117, 1, 1, 2
60, 3, 1.666667, 1, 2, 1, 2, 2
