time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 9408, 1.569090, 1, 12, 1, 2, 2
5, 9403, 1.564820, 1, 15, 1, 2, 2
10, 9337, 1.582414, 1, 13, 1, 1, 2
15, 9444, 1.561415, 1, 8, 1, 1, 2
20, 9231, 1.604593, 1, 7, 1, 1, 2
25, 8783, 1.728680, 1, 9, 1, 2, 2
30, 8968, 1.672614, 1, 24, 1, 2, 2
35, 9263, 1.589766, 1, 83, 1, 1, 2
40, 9151, 1.629112, 1, 12, 1, 2, 2
45, 7256, 2.202040, 1, 280, 1, 2, 2
50, 8315, 1.855201, 1, 100, 1, 2, 2
55, 8833, 1.717084, 1, 8, 1, 2, 2
60, 12, 1.333333, 1, 2, 1, 1, 2
