time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 9053, 1.642439, 1, 47, 1, 1, 2
5, 10439, 1.340933, 1, 20, 1, 1, 2
10, 9992, 1.410929, 0, 350, 1, 1, 1
15, 9986, 1.417985, 1, 369, 1, 1, 1
20, 10460, 1.326673, 1, 49, 1, 1, 2
25, 10050, 1.414527, 1, 47, 1, 1, 2
30, 9738, 1.468371, 1, 398, 1, 1, 2
35, 10715, 1.284088, 1, 28, 1, 1, 1
40, 10388, 1.328167, 1, 136, 1, 1, 1
45, 10498, 1.319870, 0, 29, 1, 1, 2
50, 7965, 1.963340, 1, 57, 1, 2, 2
55, 6095, 2.731255, 0, 740, 1, 2, 2
60, 11, 4.000000, 1, 5, 3, 4, 5
